text,author
This is a short text by author A.,A
Another short note by A with similar style.,A
A writes with concise sentences and similar phrasing.,A
Completely different phrasing and words from B.,B
B writes in other tones and different words.,B
B often uses longer sentences and different vocabulary.,B
Author C likes lists and enumerations in their notes.,C
C writes short clipped fragments and bullets.,C
C has a distinct technical style and terse comments.,C
Shared common phrasing that multiple authors might use.,D
Another line by D using somewhat neutral wording.,D
D uses repeated terms and a formulaic closing.,D
